オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス
202004270010-1,2020-04-27,C00001656,PA-CWGL,1,14300,2020-05-03,,配達済み
202004270003-1,2020-04-27,C00000914,PA-BMGL,1,20000,2020-04-30,,配達済み
202004270013-2,2020-04-27,C00002017,TS-AMWS,1,7900,2020-04-30,,配達済み
202004270007-1,2020-04-27,C00001192,PA-BWWL,1,19800,2020-05-02,,配達済み
202004270002-1,2020-04-27,C00000005,VE-AMWL,1,19800,2020-05-02,,配達済み
202004270010-2,2020-04-27,C00001656,SK-AWGS,1,18100,2020-05-01,,配達済み
202004270005-1,2020-04-27,C00001104,TB-AUNN,3,23400,2020-05-02,,配達済み
202004270013-1,2020-04-27,C00002017,PA-BMGM,2,40000,2020-04-30,,配達済み
202004280004-1,2020-04-28,C00001924,HC-AUNN,1,1200,2020-05-03,,配達済み
202004280002-1,2020-04-28,C00001738,HC-AUNN,1,1200,2020-05-01,,配達済み
202004280002-2,2020-04-28,C00001738,HC-BUNN,1,980,2020-05-03,,配達済み
202004280001-1,2020-04-28,C00001556,TS-CMBS,1,7600,2020-05-04,,配達済み
202004280006-1,2020-04-28,C00002217,PA-CWWS,2,28600,2020-05-01,,配達済み
202004300002-1,2020-04-30,C00000398,NI-BWWS,1,15100,2020-05-04,,配達済み
202004300001-1,2020-04-30,C00000249,NI-CWGM,3,37200,2020-05-04,,配達済み
202005010000-1,2020-05-01,C00000086,SW-BWBM,1,15900,2020-05-04,,配達済み
202005010007-1,2020-05-01,C00001131,JA-CMBM,1,20800,2020-05-05,,配達済み
202005010003-1,2020-05-01,C00001068,CT-BMBL,1,38900,2020-05-04,,配達済み
202005010008-1,2020-05-01,C00001901,TO-BUNN,1,2180,2020-05-05,,配達済み
202005010009-1,2020-05-01,C00002231,SW-AWWM,1,17600,2020-05-04,,配達済み
202005020001-1,2020-05-02,C00001219,PA-AMGL,1,16500,2020-05-07,,配達済み
202005020002-1,2020-05-02,C00002111,PA-AMBL,1,16500,2020-05-05,,配達済み
202005020000-1,2020-05-02,C00000465,PA-CWGS,2,28600,2020-05-06,,配達済み
202005030000-1,2020-05-03,C00001268,SW-AWGL,1,17600,2020-05-10,,配達済み
202005030001-1,2020-05-03,C00001561,CT-AMBL,1,39600,2020-05-05,,配達済み
202005030005-1,2020-05-03,C00001897,NI-AMWM,1,10000,2020-05-11,,配達済み
202005040000-1,2020-05-04,C00001081,TO-AUNN,2,4560,2020-05-09,,配達済み
202005040003-1,2020-05-04,C00001800,SK-AWBS,1,18100,2020-05-08,,配達済み
202005040001-1,2020-05-04,C00001154,TS-BMWL,1,8700,2020-05-07,,配達済み
202005040010-1,2020-05-04,C00002024,TO-BUNN,1,2180,2020-05-06,,配達済み
202005040006-1,2020-05-04,C00001809,HC-AUNN,2,2400,2020-05-09,,配達済み
202005040011-1,2020-05-04,C00002211,NI-AWGS,1,11000,2020-05-09,,配達済み
202005050012-1,2020-05-05,C00001515,PA-AKWM,1,7600,2020-05-08,,配達済み
202005050000-1,2020-05-05,C00000046,TS-CMWM,1,7600,2020-05-10,,配達済み
202005050004-1,2020-05-05,C00000548,SW-AMBM,1,16000,2020-05-09,,配達済み
202005050005-1,2020-05-05,C00001174,TS-CWBM,1,7600,2020-05-11,,配達済み
202005050005-2,2020-05-05,C00001174,TO-AUNN,2,4560,2020-05-09,,配達済み
202005050002-1,2020-05-05,C00000429,SW-AWGS,3,52800,2020-05-08,,配達済み
202005050009-1,2020-05-05,C00001447,PA-BMGS,1,20000,2020-05-11,,配達済み
202005050013-2,2020-05-05,C00002005,PA-AMWS,1,16500,2020-05-09,,配達済み
202005050007-1,2020-05-05,C00001202,HA-AUNN,3,15840,2020-05-08,,配達済み
202005050013-3,2020-05-05,C00002005,BP-CUNN,1,12900,2020-05-10,,配達済み
202005050013-1,2020-05-05,C00002005,PA-AMGM,1,16500,2020-05-10,,配達済み
202005070013-1,2020-05-07,C00001849,PA-BWGL,1,19800,2020-05-14,,配達済み
202005070011-1,2020-05-07,C00001711,HA-BUNN,1,4800,2020-05-09,,配達済み
202005070014-1,2020-05-07,C00002061,TB-AUNN,1,7800,2020-05-15,,配達済み
202005070002-1,2020-05-07,C00000249,PA-BWBM,1,19800,2020-05-14,,配達済み
202005070000-1,2020-05-07,C00000223,HC-BUNN,1,980,2020-05-15,,配達済み
202005070007-1,2020-05-07,C00001597,JA-BWGM,1,21000,2020-05-15,,配達済み
202005070003-1,2020-05-07,C00000394,BP-CUNN,1,12900,2020-05-16,,配達済み
202005070005-1,2020-05-07,C00000700,PA-CWBM,1,14300,2020-05-13,,配達済み
202005070006-1,2020-05-07,C00001205,PA-CWGS,2,28600,2020-05-07,,配達済み
202005080002-1,2020-05-08,C00000598,NI-CWWM,1,12400,2020-05-11,,配達済み
202005080027-1,2020-05-08,C00001237,SK-AWWL,1,18100,2020-05-09,,配達済み
202005080023-1,2020-05-08,C00001139,PA-BMWL,1,20000,2020-05-11,,配達済み
202005080046-1,2020-05-08,C00002172,VE-CMBM,1,16800,2020-05-13,,配達済み
202005080000-1,2020-05-08,C00000003,CT-AMBM,1,39600,2020-05-13,,配達済み
202005080042-1,2020-05-08,C00002122,NI-BMGM,1,14500,2020-05-13,,配達済み
202005080020-1,2020-05-08,C00000852,CT-BWWL,1,35200,2020-05-14,,配達済み
202005080030-1,2020-05-08,C00001661,PA-BWGS,1,19800,2020-05-13,,配達済み
202005080033-1,2020-05-08,C00001835,BP-AUNN,1,10200,2020-05-13,,配達済み
202005080014-1,2020-05-08,C00000721,TB-AUNN,1,7800,2020-05-13,,配達済み
202005080048-1,2020-05-08,C00002189,SW-AWGL,2,35200,2020-05-11,,配達済み
202005080003-1,2020-05-08,C00000614,NI-CWWM,1,12400,2020-05-13,,配達済み
202005080008-1,2020-05-08,C00000721,TS-AWWL,1,8900,2020-05-15,,配達済み
202005080029-1,2020-05-08,C00001366,PA-AMGL,1,16500,2020-05-09,,配達済み
202005080038-1,2020-05-08,C00002065,TS-BMBL,1,8700,2020-05-12,,配達済み
202005080025-1,2020-05-08,C00001153,TS-BWBS,3,22800,2020-05-11,,配達済み
202005080026-1,2020-05-08,C00001215,NI-BMWL,1,14500,2020-05-13,,配達済み
202005080017-1,2020-05-08,C00000818,NI-AMBS,1,10000,2020-05-11,,配達済み
202005080019-1,2020-05-08,C00000826,PA-CWBL,1,14300,2020-05-11,,配達済み
202005080022-1,2020-05-08,C00001133,TS-AWWL,4,35600,2020-05-16,,配達済み
202005080001-1,2020-05-08,C00000322,HC-AUNN,1,1200,2020-05-14,,配達済み
202005080034-1,2020-05-08,C00001873,SW-BMWM,1,15900,2020-05-12,,配達済み
202005080043-1,2020-05-08,C00002138,PA-AMWM,1,16500,2020-05-11,,配達済み
202005080036-1,2020-05-08,C00002057,TS-AMWM,1,7900,2020-05-11,,配達済み
202005080032-1,2020-05-08,C00001828,PA-BWWL,2,39600,2020-05-13,,配達済み
202005090024-1,2020-05-09,C00002208,VE-CWGS,4,67200,2020-05-10,,配達済み
202005090019-1,2020-05-09,C00001771,BP-AUNN,1,10200,2020-05-15,,配達済み
202005090015-1,2020-05-09,C00001370,TO-AUNN,1,2280,2020-05-14,,配達済み
202005090012-1,2020-05-09,C00001181,NI-AWGL,1,11000,2020-05-15,,配達済み
202005090025-1,2020-05-09,C00002222,BP-BUNN,3,29400,2020-05-12,,配達済み
202005090006-1,2020-05-09,C00000617,SW-BWBM,2,31800,2020-05-13,,配達済み
202005090024-2,2020-05-09,C00002208,NI-CWGL,1,12400,2020-05-13,,配達済み
202005090011-2,2020-05-09,C00001104,NI-AKGS,1,8300,2020-05-15,,配達済み
202005090016-1,2020-05-09,C00001405,BP-CUNN,3,38700,2020-05-12,,配達済み
202005090011-1,2020-05-09,C00001104,PA-BMWM,1,20000,2020-05-13,,配達済み
202005090018-1,2020-05-09,C00001543,TO-AUNN,1,2280,2020-05-14,,配達済み
202005090006-2,2020-05-09,C00000617,SB-AUNN,1,8800,2020-05-13,,配達済み
202005090020-1,2020-05-09,C00002198,JA-CWGS,1,22100,2020-05-12,,配達済み
202005090002-1,2020-05-09,C00000350,NI-CMGS,1,12300,2020-05-13,,配達済み
202005090004-1,2020-05-09,C00000495,SB-CUNN,1,5890,2020-05-10,,配達済み
202005090010-1,2020-05-09,C00000860,SB-AUNN,1,8800,2020-05-11,,配達済み
202005100002-1,2020-05-10,C00000220,SW-AWWM,1,17600,2020-05-16,,配達済み
202005100043-1,2020-05-10,C00001838,BP-CUNN,1,12900,2020-05-13,,配達済み
202005100029-1,2020-05-10,C00000995,NI-AWWL,1,11000,2020-05-15,,配達済み
202005100038-1,2020-05-10,C00001600,HA-AKNN,1,4300,2020-05-14,,配達済み
202005100037-1,2020-05-10,C00001454,CT-AMBS,3,118800,2020-05-14,,配達済み
202005100039-1,2020-05-10,C00001636,TO-BUNN,3,6540,2020-05-14,,配達済み
202005100014-1,2020-05-10,C00000645,TO-AUNN,1,2280,2020-05-18,,配達済み
202005100051-1,2020-05-10,C00002148,PA-CWGM,1,14300,2020-05-15,,配達済み
202005100006-1,2020-05-10,C00000254,NI-CMBM,1,12300,2020-05-15,,配達済み
202005100027-1,2020-05-10,C00000975,TS-AMBS,1,7900,2020-05-14,,配達済み
202005100035-1,2020-05-10,C00001230,NI-AMGL,1,10000,2020-05-14,,配達済み
202005100017-1,2020-05-10,C00000885,NI-BWBM,1,15100,2020-05-16,,配達済み
202005100023-1,2020-05-10,C00000886,PA-BWBL,1,19800,2020-05-14,,配達済み
202005100025-1,2020-05-10,C00000903,TO-AUNN,1,2280,2020-05-17,,配達済み
202005100015-1,2020-05-10,C00000763,PA-BMWS,2,40000,2020-05-16,,配達済み
202005100049-1,2020-05-10,C00001959,CT-BMGL,1,38900,2020-05-16,,配達済み
202005100008-1,2020-05-10,C00000519,HA-AUNN,1,5280,2020-05-15,,配達済み
202005100007-1,2020-05-10,C00000390,TO-AUNN,1,2280,2020-05-14,,配達済み
202005100040-1,2020-05-10,C00001682,SW-BWBL,1,15900,2020-05-14,,配達済み
202005100032-1,2020-05-10,C00001029,NI-AWBM,1,11000,2020-05-12,,配達済み
202005100033-1,2020-05-10,C00001041,HA-AUNN,1,5280,2020-05-16,,配達済み
202005100026-1,2020-05-10,C00000932,PA-CWGL,1,14300,2020-05-14,,配達済み
202005100042-1,2020-05-10,C00001776,CT-AMWS,1,39600,2020-05-16,,配達済み
202005100048-1,2020-05-10,C00001928,HC-BUNN,1,980,2020-05-16,,配達済み
202005100036-1,2020-05-10,C00001318,TB-BUNN,1,9800,2020-05-15,,配達済み
202005100009-1,2020-05-10,C00000526,VE-CWGM,2,33600,2020-05-18,,配達済み
202005100053-1,2020-05-10,C00002166,SK-AWGL,1,18100,2020-05-17,,配達済み
202005110011-1,2020-05-11,C00000432,JA-CWWS,1,22100,2020-05-15,,配達済み
202005110002-1,2020-05-11,C00000014,BP-BUNN,1,9800,2020-05-15,,配達済み
202005110016-1,2020-05-11,C00000796,TB-AUNN,1,7800,2020-05-16,,配達済み
202005110024-1,2020-05-11,C00001864,SW-CMBM,2,36800,2020-05-16,,配達済み
202005110019-1,2020-05-11,C00000882,HA-AUNN,1,5280,2020-05-14,,配達済み
202005110012-1,2020-05-11,C00000486,SW-CWGS,2,36800,2020-05-16,,配達済み
202005110007-1,2020-05-11,C00000268,TO-BUNN,1,2180,2020-05-15,,配達済み
202005110014-1,2020-05-11,C00000616,NI-AMGL,1,10000,2020-05-16,,配達済み
202005110017-1,2020-05-11,C00000863,PA-CMWM,3,42900,2020-05-14,,配達済み
202005110023-1,2020-05-11,C00001730,JA-BMGM,1,19400,2020-05-15,,配達済み
202005110011-2,2020-05-11,C00000432,BP-AUNN,2,20400,2020-05-17,,配達済み
202005110013-1,2020-05-11,C00000591,JA-BWGL,1,21000,2020-05-16,,配達済み
202005110020-1,2020-05-11,C00001567,JA-AWWS,1,31900,2020-05-16,,配達済み
202005110003-1,2020-05-11,C00000211,HA-BUNN,1,4800,2020-05-16,,配達済み
202005120014-1,2020-05-12,C00001397,NI-AMBL,1,10000,2020-05-17,,配達済み
202005120016-1,2020-05-12,C00001536,VE-AWWM,1,18900,2020-05-18,,配達済み
202005120019-1,2020-05-12,C00001682,TS-BWGS,1,7600,2020-05-16,,配達済み
202005120003-1,2020-05-12,C00000903,SK-AWWM,1,18100,2020-05-13,,配達済み
202005120014-2,2020-05-12,C00001397,JA-AKGL,1,17000,2020-05-17,,配達済み
202005120011-1,2020-05-12,C00001343,PA-CMBM,1,14300,2020-05-16,,配達済み
202005120010-1,2020-05-12,C00001269,PA-CMGM,1,14300,2020-05-13,,配達済み
202005120015-1,2020-05-12,C00001512,SW-AMGM,1,16000,2020-05-13,,配達済み
202005120015-2,2020-05-12,C00001512,SW-BWWL,1,15900,2020-05-16,,配達済み
202005120005-1,2020-05-12,C00000925,SW-AWWS,1,17600,2020-05-18,,配達済み
202005120000-1,2020-05-12,C00000711,SW-AWBM,1,17600,2020-05-16,,配達済み
202005120009-1,2020-05-12,C00001157,SW-CMBM,4,73600,2020-05-16,,配達済み
202005120020-1,2020-05-12,C00001726,HC-AUNN,1,1200,2020-05-16,,配達済み
202005120019-2,2020-05-12,C00001682,JA-AWGM,1,31900,2020-05-16,,配達済み
202005140002-1,2020-05-14,C00000124,TS-AMWL,2,15800,2020-05-21,,配達済み
202005140006-1,2020-05-14,C00000715,TS-AKGL,1,4300,2020-05-20,,配達済み
202005140005-1,2020-05-14,C00000715,PA-BMWS,1,20000,2020-05-14,,配達済み
202005140011-1,2020-05-14,C00001192,NI-AWBS,1,11000,2020-05-18,,配達済み
202005140014-1,2020-05-14,C00001318,HA-AUNN,1,5280,2020-05-20,,配達済み
202005140007-2,2020-05-14,C00000848,VE-CWBS,1,16800,2020-05-14,,配達済み
202005140015-1,2020-05-14,C00001457,HC-BUNN,1,980,2020-05-22,,配達済み
202005140019-1,2020-05-14,C00001661,VE-BMGM,2,36000,2020-05-15,,配達済み
202005140020-1,2020-05-14,C00001846,NI-AWGS,3,33000,2020-05-20,,配達済み
202005140006-2,2020-05-14,C00000715,HA-AKNN,1,4300,2020-05-21,,配達済み
202005140004-1,2020-05-14,C00000457,BP-CUNN,1,12900,2020-05-17,,配達済み
202005140013-1,2020-05-14,C00001294,TO-AUNN,1,2280,2020-05-14,,配達済み
202005140007-1,2020-05-14,C00000848,SW-BWBM,1,15900,2020-05-14,,配達済み
202005140030-1,2020-05-14,C00002195,HA-AUNN,1,5280,2020-05-18,,配達済み
202005140027-1,2020-05-14,C00001874,TO-AUNN,1,2280,2020-05-15,,配達済み
202005140008-1,2020-05-14,C00001115,TS-AWWM,1,8900,2020-05-17,,配達済み
202005140003-1,2020-05-14,C00000179,SB-AUNN,1,8800,2020-05-16,,配達済み
202005140001-1,2020-05-14,C00000032,PA-BWWM,3,59400,2020-05-20,,配達済み
202005140014-2,2020-05-14,C00001318,TS-CWBS,1,7600,2020-05-22,,配達済み
202005150007-1,2020-05-15,C00000310,PA-AMBS,1,16500,2020-05-22,,配達済み
202005150044-1,2020-05-15,C00001904,HA-AKNN,1,4300,2020-05-21,,配達済み
202005150036-1,2020-05-15,C00001628,PA-BMWM,2,40000,2020-05-15,,配達済み
202005150015-1,2020-05-15,C00000921,SK-AWGL,1,18100,2020-05-20,,配達済み
202005150012-1,2020-05-15,C00000440,PA-BWWM,3,59400,2020-05-21,,配達済み
202005150010-1,2020-05-15,C00000383,PA-BMWL,1,20000,2020-05-20,,配達済み
202005150017-1,2020-05-15,C00001009,TS-CWGS,1,7600,2020-05-21,,配達済み
202005150006-1,2020-05-15,C00000251,NI-AMGL,1,10000,2020-05-21,,配達済み
202005150049-1,2020-05-15,C00002162,JA-BWBS,1,21000,2020-05-18,,配達済み
202005150047-1,2020-05-15,C00002141,SW-CMGL,1,18400,2020-05-21,,配達済み
202005150031-1,2020-05-15,C00001407,PA-CMWS,1,14300,2020-05-18,,配達済み
202005150029-1,2020-05-15,C00001373,PA-CWBL,1,14300,2020-05-17,,配達済み
202005150013-1,2020-05-15,C00000653,HA-BUNN,1,4800,2020-05-15,,配達済み
202005150004-1,2020-05-15,C00000147,PA-AMBM,1,16500,2020-05-20,,配達済み
202005150033-1,2020-05-15,C00001508,PA-BWBL,1,19800,2020-05-17,,配達済み
202005150034-1,2020-05-15,C00001614,PA-CMBS,1,14300,2020-05-18,,配達済み
202005150009-1,2020-05-15,C00000319,SK-AWWS,1,18100,2020-05-20,,配達済み
202005150032-1,2020-05-15,C00001489,SW-BMGL,1,15900,2020-05-21,,配達済み
202005150049-3,2020-05-15,C00002162,TB-BUNN,1,9800,2020-05-19,,配達済み
202005150049-2,2020-05-15,C00002162,TO-BUNN,1,2180,2020-05-21,,配達済み
202005150022-1,2020-05-15,C00001037,PA-BWBM,1,19800,2020-05-20,,配達済み
202005150045-1,2020-05-15,C00002123,PA-CWBS,1,14300,2020-05-21,,配達済み
202005150041-1,2020-05-15,C00001693,PA-CMWL,1,14300,2020-05-17,,配達済み
202005150009-2,2020-05-15,C00000319,HC-AUNN,1,1200,2020-05-22,,配達済み
202005150003-1,2020-05-15,C00000116,PA-BMBL,1,20000,2020-05-18,,配達済み
202005150024-1,2020-05-15,C00001284,SB-AUNN,1,8800,2020-05-20,,配達済み
202005150002-1,2020-05-15,C00000010,CT-CWWM,1,31000,2020-05-19,,配達済み
202005150042-1,2020-05-15,C00001874,HA-AUNN,1,5280,2020-05-21,,配達済み
202005150017-2,2020-05-15,C00001009,SK-AWGS,1,18100,2020-05-19,,配達済み
202005160032-1,2020-05-16,C00001219,TB-AUNN,1,7800,2020-05-21,,配達済み
202005160046-1,2020-05-16,C00001657,SB-CUNN,1,5890,2020-05-23,,配達済み
202005160006-1,2020-05-16,C00000250,TB-BUNN,1,9800,2020-05-19,,配達済み
202005160037-1,2020-05-16,C00001222,TO-BUNN,1,2180,2020-05-21,,配達済み
202005160038-1,2020-05-16,C00001311,SB-BUNN,1,6800,2020-05-23,,配達済み
202005160015-1,2020-05-16,C00000357,BP-CUNN,1,12900,2020-05-24,,配達済み
202005160049-1,2020-05-16,C00001683,JA-CMGS,1,20800,2020-05-21,,配達済み
202005160031-1,2020-05-16,C00001212,PA-BMBL,1,20000,2020-05-20,,配達済み
202005160022-1,2020-05-16,C00000925,HC-BUNN,2,1960,2020-05-19,,配達済み
202005160055-1,2020-05-16,C00001717,TS-AWGS,1,8900,2020-05-23,,配達済み
202005160016-1,2020-05-16,C00000394,TB-BUNN,1,9800,2020-05-19,,配達済み
202005160002-1,2020-05-16,C00000139,PA-CWWS,1,14300,2020-05-22,,配達済み
202005160043-1,2020-05-16,C00001617,NI-CWGS,1,12400,2020-05-20,,配達済み
202005160007-2,2020-05-16,C00000279,PA-CWWL,1,14300,2020-05-18,,配達済み
202005160023-1,2020-05-16,C00000928,NI-AKGS,1,8300,2020-05-20,,配達済み
202005160030-1,2020-05-16,C00001057,TO-AUNN,1,2280,2020-05-18,,配達済み
202005160029-1,2020-05-16,C00000994,TB-AUNN,1,7800,2020-05-22,,配達済み
202005160007-4,2020-05-16,C00000279,TS-AKWM,1,4300,2020-05-17,,配達済み
202005160059-1,2020-05-16,C00002140,SW-AWWS,1,17600,2020-05-19,,配達済み
202005160057-1,2020-05-16,C00001949,SK-AWGL,2,36200,2020-05-21,,配達済み
202005160042-1,2020-05-16,C00001484,TB-BUNN,1,9800,2020-05-22,,配達済み
202005160009-1,2020-05-16,C00000336,PA-BMGM,1,20000,2020-05-20,,配達済み
202005160056-1,2020-05-16,C00001818,VE-CMGL,1,16800,2020-05-17,,配達済み
202005160048-1,2020-05-16,C00001658,CT-BWBM,1,35200,2020-05-20,,配達済み
202005160039-1,2020-05-16,C00001453,PA-CWGL,1,14300,2020-05-23,,配達済み
202005160007-1,2020-05-16,C00000279,NI-BWGL,4,60400,2020-05-20,,配達済み
202005160003-1,2020-05-16,C00000168,HC-BUNN,3,2940,2020-05-23,,配達済み
202005160041-1,2020-05-16,C00001481,HA-BUNN,1,4800,2020-05-23,,配達済み
202005160018-1,2020-05-16,C00000464,PA-AMGM,1,16500,2020-05-23,,配達済み
202005160007-3,2020-05-16,C00000279,SW-AWBL,1,17600,2020-05-19,,配達済み
202005160005-1,2020-05-16,C00000233,NI-AWGS,1,11000,2020-05-21,,配達済み
202005160021-1,2020-05-16,C00000736,NI-CWBM,1,12400,2020-05-20,,配達済み
202005160000-1,2020-05-16,C00000073,NI-AWWS,1,11000,2020-05-22,,配達済み
202005160042-2,2020-05-16,C00001484,BP-CUNN,1,12900,2020-05-22,,配達済み
202005170008-1,2020-05-17,C00000492,NI-CWGM,1,12400,2020-05-22,,配達済み
202005170021-1,2020-05-17,C00001805,VE-BMGL,1,18000,2020-05-25,,配達済み
202005170004-1,2020-05-17,C00000254,PA-BMBS,1,20000,2020-05-21,,配達済み
202005170001-1,2020-05-17,C00000172,NI-BMGM,3,43500,2020-05-21,,配達済み
202005170017-1,2020-05-17,C00000857,PA-BMBM,1,20000,2020-05-23,,配達済み
202005170002-1,2020-05-17,C00000225,SW-AMWS,1,16000,2020-05-20,,配達済み
202005170018-1,2020-05-17,C00001382,SK-AWWL,1,18100,2020-05-22,,配達済み
202005170000-1,2020-05-17,C00000030,PA-BWWM,1,19800,2020-05-20,,配達済み
202005170016-1,2020-05-17,C00000812,TO-BUNN,1,2180,2020-05-26,,配達済み
202005170024-1,2020-05-17,C00002139,TS-AWBM,1,8900,2020-05-22,,配達済み
202005170015-1,2020-05-17,C00000735,PA-CWWM,1,14300,2020-05-19,,配達済み
202005170019-1,2020-05-17,C00001659,TS-CMBM,2,15200,2020-05-20,,配達済み
202005170010-1,2020-05-17,C00000567,PA-AMBM,2,33000,2020-05-26,,配達済み
202005180002-1,2020-05-18,C00000370,SK-AWWM,1,18100,2020-05-23,,配達済み
202005180001-1,2020-05-18,C00000335,BP-CUNN,1,12900,2020-05-22,,配達済み
202005180036-1,2020-05-18,C00002135,PA-AMWL,1,16500,2020-05-23,,配達済み
202005180038-1,2020-05-18,C00002215,PA-CWWS,1,14300,2020-05-22,,配達済み
202005180029-1,2020-05-18,C00001748,PA-AMGM,3,49500,2020-05-22,,配達済み
202005180016-1,2020-05-18,C00000991,NI-AWBM,1,11000,2020-05-22,,配達済み
202005180011-1,2020-05-18,C00000903,NI-BWBM,1,15100,2020-05-26,2020-05-28,キャンセル
202005180023-1,2020-05-18,C00001011,SW-CWGM,1,18400,2020-05-23,2020-05-23,キャンセル
202005180026-1,2020-05-18,C00001662,HA-BUNN,1,4800,2020-05-24,,配達済み
202005180027-1,2020-05-18,C00001685,TS-CWBL,1,7600,2020-05-24,,配達済み
202005180035-1,2020-05-18,C00002063,SK-AWGM,1,18100,2020-05-26,,配達済み
202005180024-1,2020-05-18,C00001112,PA-BMWM,1,20000,2020-05-23,,配達済み
202005180033-1,2020-05-18,C00001815,TB-AUNN,1,7800,2020-05-23,2020-05-23,キャンセル
202005180032-2,2020-05-18,C00001807,HC-BUNN,2,1960,2020-05-23,,配達済み
202005180037-1,2020-05-18,C00002160,TS-CWBL,2,15200,2020-05-25,2020-05-28,キャンセル
202005180004-1,2020-05-18,C00000382,PA-BWWL,1,19800,2020-05-25,2020-05-28,キャンセル
202005180032-1,2020-05-18,C00001807,TS-CWGS,1,7600,2020-05-25,,配達済み
202005180034-2,2020-05-18,C00001930,NI-AMBS,1,10000,2020-05-22,,配達済み
202005180032-3,2020-05-18,C00001807,HA-AUNN,1,5280,2020-05-23,,配達済み
202005180014-1,2020-05-18,C00000948,HC-BUNN,4,3920,2020-05-22,,配達済み
202005180025-1,2020-05-18,C00001528,SW-BWWL,1,15900,2020-05-24,2020-05-28,キャンセル
202005180006-1,2020-05-18,C00000460,PA-BWWM,1,19800,2020-05-22,,配達済み
202005180034-1,2020-05-18,C00001930,TS-AMWS,1,7900,2020-05-22,,配達済み
202005190011-1,2020-05-19,C00002220,TS-BMBM,1,8700,2020-05-24,,配達済み
202005190001-1,2020-05-19,C00000025,TS-BWBS,1,7600,2020-05-23,,配達済み
202005190002-1,2020-05-19,C00000373,SK-AWWS,2,36200,2020-05-24,,配達済み
202005190010-1,2020-05-19,C00001610,HC-AUNN,2,2400,2020-05-21,,配達済み
202005190005-1,2020-05-19,C00000959,PA-CWBM,3,42900,2020-05-23,,配達済み
202005190010-2,2020-05-19,C00001610,CT-AKWL,1,19800,2020-05-21,,配達済み
202005190008-1,2020-05-19,C00001600,PA-BMBS,1,20000,2020-05-23,,配達済み
202005190003-1,2020-05-19,C00000553,SB-AUNN,1,8800,2020-05-24,,配達済み
202005210025-1,2020-05-21,C00001028,VE-AWGL,1,18900,2020-05-25,,配達済み
202005210033-1,2020-05-21,C00001095,JA-BMWM,1,19400,2020-05-29,,配達済み
202005210059-1,2020-05-21,C00002052,SW-CWGL,1,18400,2020-05-27,,配達済み
202005210058-1,2020-05-21,C00001858,SW-AWWL,3,52800,2020-05-29,,配達済み
202005210012-1,2020-05-21,C00000390,HA-AUNN,1,5280,2020-05-28,,配達済み
202005210045-1,2020-05-21,C00001524,JA-CMWS,1,20800,2020-05-28,,配達済み
202005210017-1,2020-05-21,C00000620,PA-BMWM,1,20000,2020-05-25,,配達済み
202005210052-1,2020-05-21,C00001719,PA-AMGL,1,16500,2020-05-27,,配達済み
202005210034-1,2020-05-21,C00001137,HC-AUNN,1,1200,2020-05-26,,配達済み
202005210002-1,2020-05-21,C00000112,NI-CWBS,1,12400,2020-05-27,,配達済み
202005210011-1,2020-05-21,C00000335,BP-AUNN,1,10200,2020-05-24,,配達済み
202005210009-1,2020-05-21,C00000225,TS-BMGS,1,8700,2020-05-28,,配達済み
202005210022-1,2020-05-21,C00000887,CT-CMGM,1,30800,2020-05-25,,配達済み
202005210057-1,2020-05-21,C00001839,TS-CMWM,1,7600,2020-05-24,,配達済み
202005210013-1,2020-05-21,C00000433,PA-AMWS,1,16500,2020-05-28,,配達済み
202005210048-1,2020-05-21,C00001568,HA-AUNN,1,5280,2020-05-25,,配達済み
202005210008-1,2020-05-21,C00000174,TS-AWGL,4,35600,2020-05-28,,配達済み
202005210023-1,2020-05-21,C00000972,BP-CUNN,1,12900,2020-05-28,,配達済み
202005210021-1,2020-05-21,C00000863,NI-AMBM,1,10000,2020-05-25,,配達済み
202005210018-1,2020-05-21,C00000700,SW-CWGL,1,18400,2020-05-28,,配達済み
202005210015-1,2020-05-21,C00000548,PA-CMWL,1,14300,2020-05-26,,配達済み
202005210054-1,2020-05-21,C00001801,NI-AMBL,1,10000,2020-05-22,,配達済み
202005210039-1,2020-05-21,C00001442,PA-CWGM,1,14300,2020-05-28,,配達済み
202005210038-1,2020-05-21,C00001426,CT-AWBL,3,123600,2020-05-27,,配達済み
202005210049-1,2020-05-21,C00001614,SW-BMBL,1,15900,2020-05-23,,配達済み
202005210005-1,2020-05-21,C00000148,NI-BMBL,1,14500,2020-05-27,,配達済み
202005210045-2,2020-05-21,C00001524,PA-BMBM,1,20000,2020-05-27,,配達済み
202005210001-1,2020-05-21,C00000061,CT-CWBL,1,31000,2020-05-28,,配達済み
202005210042-1,2020-05-21,C00001475,SB-BUNN,1,6800,2020-05-23,,配達済み
202005210031-1,2020-05-21,C00001061,HA-AUNN,3,15840,2020-05-27,,配達済み
202005210061-1,2020-05-21,C00002063,TB-AUNN,1,7800,2020-05-25,,配達済み
202005210044-1,2020-05-21,C00001512,TB-BUNN,1,9800,2020-05-27,,配達済み
202005220008-1,2020-05-22,C00001032,PA-CMGS,2,28600,2020-05-27,,配達済み
202005220017-1,2020-05-22,C00001562,NI-BWBS,1,15100,2020-05-28,,配達済み
202005220014-1,2020-05-22,C00001409,SW-CMWL,1,18400,2020-05-30,,配達済み
